Code,Company,Link,"Market Cap","Last trade",Change,%Change,Sector
ASX:CDP,"Carindale Property Trust (ASX:CDP)",https://www.listcorp.com/asx/cdp/carindale-property-trust,"	316754000",4.36,0.00,0,"Real Estate"
ASX:SXL,"Southern Cross Media Group Limited (ASX:SXL)",https://www.listcorp.com/asx/sxl/southern-cross-media-group-limited,"	315626000",1.195,0.00,0,"Communication Services"
ASX:MNS,"Magnis Energy Technologies (ASX:MNS)",https://www.listcorp.com/asx/mns/magnis-energy-technologies,"	315358000",0.325,0.00,0,Materials
ASX:MAH,"Macmahon Holdings (ASX:MAH)",https://www.listcorp.com/asx/mah/macmahon-holdings,"	312473000",0.145,0.00,0,Materials
ASX:CGS,"CogState Limited (ASX:CGS)",https://www.listcorp.com/asx/cgs/cogstate,"	312063000",1.8,0.00,0,"Health Care"
ASX:SRG,"SRG Global Limited (ASX:SRG)",https://www.listcorp.com/asx/srg/srg-global-limited,"	312058000",0.7,0.00,0,Industrials
ASX:ECF,"Elanor Commercial Property Fund (ASX:ECF)",https://www.listcorp.com/asx/ecf/elanor-commercial-property-fund,"	311808000",0.985,0.00,0,"Real Estate"
ASX:TRJ,"Trajan Group Holdings Limited (ASX:TRJ)",https://www.listcorp.com/asx/trj/trajan-group-holdings-limited,"	311296000",2.05,0.00,0,"Health Care"
ASX:ADN,"Andromeda Metals Limited (ASX:ADN)",https://www.listcorp.com/asx/adn/andromeda-metals-limited,"	311001000",0.1,0.00,0,Materials
ASX:IGL,"IVE Group Limited (ASX:IGL)",https://www.listcorp.com/asx/igl/ive-group-limited,"	308544000",2.15,0.00,0,"Communication Services"
ASX:VBLD,"Vanguard Global Infrastructure Index ETF (ASX:VBLD)",https://www.listcorp.com/asx/vbld/vanguard-global-infrastructure-index-etf,"	308454000",65.32,0.00,0,Financials
ASX:AGX1,"Antipodes Global Shares (Quoted Managed Fund) (ASX:AGX1)",https://www.listcorp.com/asx/agx1/antipodes-global-shares,"	306482000",4.47,0.00,0,Financials
ASX:BCK,"Brockman Mining Ltd (ASX:BCK)",https://www.listcorp.com/asx/bck/brockman-mining,"	306248000",0.033,0.00,0,Materials
ASX:IHCB,"iShares Core Global Corporate Bond (AUD Hedged) ETF (ASX:IHCB)",https://www.listcorp.com/asx/ihcb/ishares-core-global-corporate-bond-aud-hedged-etf,"	304982000",97,0.00,0,Financials
ASX:SRV,"Servcorp (ASX:SRV)",https://www.listcorp.com/asx/srv/servcorp,"	304976000",3.15,0.00,0,"Real Estate"
ASX:UOS,"United Overseas Australia Limited (ASX:UOS)",https://www.listcorp.com/asx/uos/united-overseas-australia,"	303243000",0.6,0.00,0,"Real Estate"
ASX:AGI,"Ainsworth Game Technology (ASX:AGI)",https://www.listcorp.com/asx/agi/ainsworth-game,"	303115000",0.9,0.00,0,"Consumer Discretionary"
ASX:BCI,"BCI Minerals Limited (ASX:BCI)",https://www.listcorp.com/asx/bci/bci-minerals-limited,"	301550000",0.25,0.00,0,Materials
ASX:SUBD,"VanEck Australian Subordinated Debt ETF (ASX:SUBD)",https://www.listcorp.com/asx/subd/vaneck-australian-subordinated-debt-etf,"	300667000",24.4,0.00,0,Financials
ASX:PNR,"Pantoro Limited (ASX:PNR)",https://www.listcorp.com/asx/pnr/pantoro-limited,"	299468000",0.19,0.00,0,Materials
ASX:HLO,"Helloworld Travel Limited (ASX:HLO)",https://www.listcorp.com/asx/hlo/helloworld-travel-limited,"	298429000",1.925,0.00,0,"Consumer Discretionary"
ASX:RSG,"Resolute Mining Limited (ASX:RSG)",https://www.listcorp.com/asx/rsg/resolute-mining,"	298139000",0.28,0.00,0,Materials
ASX:GNX,"Genex Power Limited (ASX:GNX)",https://www.listcorp.com/asx/gnx/genex-power-limited,"	297813000",0.215,0.00,0,Utilities
ASX:AOF,"Australian Unity Office Fund (ASX:AOF)",https://www.listcorp.com/asx/aof/australian-unity-office-fund,"	297534000",1.81,0.00,0,"Real Estate"
ASX:AIS,"Aeris Resources Limited (ASX:AIS)",https://www.listcorp.com/asx/ais/aeris-resources-limited,"	297107000",0.43,0.00,0,Materials
ASX:VEQ,"Vanguard FTSE Europe Shares ETF (ASX:VEQ)",https://www.listcorp.com/asx/veq/vanguard-ftse-europe-shares-etf,"	295567000",55.73,0.00,0,Financials
ASX:ARX,"Aroa Biosurgery Limited (ASX:ARX)",https://www.listcorp.com/asx/arx/aroa-biosurgery-limited,"	294743000",0.86,0.00,0,"Health Care"
ASX:BST,"Best & Less Group Holdings (ASX:BST)",https://www.listcorp.com/asx/bst/best-and-less-group-holdings,"	294612000",2.35,0.00,0,"Consumer Discretionary"
ASX:IMM,"Immutep Limited (ASX:IMM)",https://www.listcorp.com/asx/imm/immutep-limited,"	294522000",0.34,0.00,0,"Health Care"
ASX:ABA,"Auswide Bank Ltd (ASX:ABA)",https://www.listcorp.com/asx/aba/auswide-bank,"	292647000",6.71,0.00,0,Financials
ASX:DYL,"Deep Yellow Limited (ASX:DYL)",https://www.listcorp.com/asx/dyl/deep-yellow-limited,"	292468000",0.755,0.00,0,Energy
ASX:NPR,"Newmark Property REIT (ASX:NPR)",https://www.listcorp.com/asx/npr/newmark-property-reit,"	292454000",1.61,0.00,0,"Real Estate"
ASX:CAJ,"Capitol Health Limited (ASX:CAJ)",https://www.listcorp.com/asx/caj/capitol-health-limited,"	291821000",0.28,0.00,0,"Health Care"
ASX:FZO,"Family Zone Cyber Safety Limited (ASX:FZO)",https://www.listcorp.com/asx/fzo/family-zone-cyber-safety-limited,"	291651000",0.34,0.00,0,"Information Technology"
ASX:CAI,"Calidus Resources Limited (ASX:CAI)",https://www.listcorp.com/asx/cai/calidus-resources-limited,"	291599000",0.715,0.00,0,Materials
ASX:PIXX,"Platinum International Fund (Quoted Managed Hedge Fund) (ASX:PIXX)",https://www.listcorp.com/asx/pixx/platinum-international-fund-quoted-managed-hedge-fund,"	290644000",4.3,0.00,0,Financials
ASX:TRA,"Turners Automotive Group (ASX:TRA)",https://www.listcorp.com/asx/tra/turners-automotive-group,"	290091000",3.35,0.00,0,"Consumer Discretionary"
ASX:FSF,"Fonterra Shareholders Fund (ASX:FSF)",https://www.listcorp.com/asx/fsf/fonterra-shareholders,"	288953000",2.69,0.00,0,"Consumer Staples"
ASX:NWE,"Norwest Energy NL (ASX:NWE)",https://www.listcorp.com/asx/nwe/norwest-energy,"	288684000",0.043,0.00,0,Energy
ASX:EGG,"Enero Group Limited (ASX:EGG)",https://www.listcorp.com/asx/egg/enero-group-limited,"	287648000",3.14,0.00,0,"Communication Services"
ASX:MLX,"Metals X Limited (ASX:MLX)",https://www.listcorp.com/asx/mlx/metals-x,"	285789000",0.315,0.00,0,Materials
ASX:DUB,"Dubber Corporation Limited (ASX:DUB)",https://www.listcorp.com/asx/dub/dubber-corporation,"	283724000",0.695,0.00,0,"Information Technology"
ASX:NTO,"Nitro Software Limited (ASX:NTO)",https://www.listcorp.com/asx/nto/nitro-software-limited,"	280916000",1.15,0.00,0,"Information Technology"
ASX:PSQ,"Pacific Smiles Group Limited (ASX:PSQ)",https://www.listcorp.com/asx/psq/pacific-smiles-group,"	277673000",1.74,0.00,0,"Health Care"
ASX:CDM,"Cadence Capital Limited (ASX:CDM)",https://www.listcorp.com/asx/cdm/cadence-capital,"	276937000",0.93,0.00,0,Financials
ASX:CVC,"CVC Limited (ASX:CVC)",https://www.listcorp.com/asx/cvc/cvc-limited,"	272200000",2.33,0.00,0,Financials
ASX:WAX,"WAM Research Limited (ASX:WAX)",https://www.listcorp.com/asx/wax/wam-research,"	267352000",1.345,0.00,0,Financials
ASX:MYD,"MyDeal.com.au Limited (ASX:MYD)",https://www.listcorp.com/asx/myd/mydeal.com.au-limited,"	266592000",1.03,0.00,0,"Consumer Discretionary"
ASX:GDG,"Generation Development Group Limited (ASX:GDG)",https://www.listcorp.com/asx/gdg/generation-development-group,"	266037000",1.43,0.00,0,Financials
ASX:SPL,"Starpharma Holdings Limited (ASX:SPL)",https://www.listcorp.com/asx/spl/starpharma-holdings,"	265488000",0.67,0.00,0,"Health Care"
ASX:NEW,"New Energy Solar Limited (ASX:NEW)",https://www.listcorp.com/asx/new/new-energy-solar-limited,"	264485000",0.825,0.00,0,Utilities
ASX:COB,"Cobalt Blue Holdings Limited (ASX:COB)",https://www.listcorp.com/asx/cob/cobalt-blue-holdings-limited,"	264153000",0.82,0.00,0,Materials
ASX:IHL,"Incannex Healthcare Limited (ASX:IHL)",https://www.listcorp.com/asx/ihl/incannex-healthcare-limited,"	262878000",0.205,0.00,0,"Health Care"
ASX:PAR,"Paradigm Biopharmaceuticals Limited (ASX:PAR)",https://www.listcorp.com/asx/par/paradigm-biopharmaceuticals-limited,"	257643000",1.13,0.00,0,"Health Care"
ASX:PIA,"Pengana International Equities Limited (ASX:PIA)",https://www.listcorp.com/asx/pia/pengana-international-equities-limited,"	256032000",1,0.00,0,Financials
ASX:BBOZ,"BetaShares Australian Equities Strong Bear Hedge Fund (ASX:BBOZ)",https://www.listcorp.com/asx/bboz/betashares-australian-equities-strong-bear-hedge-fund,"	254353000",4.18,0.00,0,Financials
ASX:SO4,"Salt Lake Potash Limited (ASX:SO4)",https://www.listcorp.com/asx/so4/salt-lake-potash-limited,"	253107000",0.31,0.00,0,Materials
ASX:KSL,"Kina Securities Limited (ASX:KSL)",https://www.listcorp.com/asx/ksl/kina-securities-limited,"	252504000",0.88,0.00,0,Financials
ASX:ELO,"ELMO Software Limited (ASX:ELO)",https://www.listcorp.com/asx/elo/elmo-software-limited,"	250737000",2.78,0.00,0,"Information Technology"
ASX:HUM,"Humm Group Limited (ASX:HUM)",https://www.listcorp.com/asx/hum/humm-group-limited,"	247634000",0.5,0.00,0,Financials
ASX:ALG,"Ardent Leisure Group Limited (ASX:ALG)",https://www.listcorp.com/asx/alg/ardent-leisure-group-limited,"	247049000",0.515,0.00,0,"Consumer Discretionary"
ASX:LYL,"Lycopodium Limited (ASX:LYL)",https://www.listcorp.com/asx/lyl/lycopodium,"	246389000",6.2,0.00,0,Industrials
ASX:CTT,"Cettire Limited (ASX:CTT)",https://www.listcorp.com/asx/ctt/cettire-limited,"	245899000",0.645,0.00,0,"Consumer Discretionary"
ASX:SRL,"Sunrise Energy Metals Limited (ASX:SRL)",https://www.listcorp.com/asx/srl/sunrise-energy-metals-limited,"	245858000",2.73,0.00,0,Materials
ASX:KED,"Keypath Education International Inc (ASX:KED)",https://www.listcorp.com/asx/ked/keypath-education-international-inc,"	245703000",1.18,0.00,0,"Consumer Discretionary"
ASX:SVL,"Silver Mines Limited (ASX:SVL)",https://www.listcorp.com/asx/svl/silver-mines-limited,"	245448000",0.19,0.00,0,Materials
ASX:LGL,"Lynch Group Holdings Limited (ASX:LGL)",https://www.listcorp.com/asx/lgl/lynch-group-holdings-limited,"	245353000",2.01,0.00,0,"Consumer Staples"
ASX:LOT,"Lotus Resources Limited (ASX:LOT)",https://www.listcorp.com/asx/lot/lotus-resources-limited,"	245181000",0.25,0.00,0,Materials
ASX:SFC,"Schaffer Corporation Limited (ASX:SFC)",https://www.listcorp.com/asx/sfc/schaffer-corporation-limited,"	245178000",18,0.00,0,"Consumer Discretionary"
